word,meaning,n,ke,te,inte,nice,ice,ine,ene,cn,she,ixe,esis,ese,summ
shtitser,supporter; sponsor,4,0,0,0,0,0,0,0,0,0,0,0,0,4
sotsyalist,socialist,0,4,0,0,0,0,0,0,0,0,0,0,0,4
spetsyalist,specialist,2,2,0,0,0,0,0,0,0,0,0,0,0,4
visnshaftler,scientist,4,0,0,0,0,0,0,0,0,0,0,0,0,4
virt,proprietor; boss; owner,4,0,0,0,0,0,0,0,0,0,0,0,0,4
voron,crow (bird),4,0,0,0,0,0,0,0,0,0,0,0,0,4
visnshaftler,scientist,4,0,0,0,0,0,0,0,0,0,0,0,0,4
virt,proprietor; boss; owner,4,0,0,0,0,0,0,0,0,0,0,0,0,4
voron,crow (bird),4,0,0,0,0,0,0,0,0,0,0,0,0,4
senator,senator,4,0,0,0,0,0,0,0,0,0,0,0,0,4
antropolog,antropological,3,0,0,0,0,0,0,0,0,0,0,0,0,3
artist,artist,1,2,0,0,0,0,0,0,0,0,0,0,0,3
atlas,atlas,0,0,0,0,0,0,0,3,0,0,0,0,0,3
ben,son,3,0,0,0,0,0,0,0,0,0,0,0,0,3
ben,member of the household,3,0,0,0,0,0,0,0,0,0,0,0,0,3
beton,concrete,0,0,0,0,0,0,0,3,0,0,0,0,0,3
brondz,adjectival form with -n,0,0,0,0,0,0,0,3,0,0,0,0,0,3
doktorant,doctoral student,2,1,0,0,0,0,0,0,0,0,0,0,0,3
drosh,homily,0,3,0,0,0,0,0,0,0,0,0,0,0,3
eygntimer,owner,3,0,0,0,0,0,0,0,0,0,0,0,0,3
eyzl,donkey (animal),0,0,3,0,0,0,0,0,0,0,0,0,0,3
fleger,personal attendant,3,0,0,0,0,0,0,0,0,0,0,0,0,3
fus,leg,0,0,3,0,0,0,0,0,0,0,0,0,0,3
fus,foot (measure of length),0,0,3,0,0,0,0,0,0,0,0,0,0,3
gastgeber,host; innkeeper,3,0,0,0,0,0,0,0,0,0,0,0,0,3
gersht,adjectival form with -n,0,0,0,0,0,0,0,3,0,0,0,0,0,3
gevir,wealthy person,0,0,3,0,0,0,0,0,0,0,0,0,0,3
gimnazist,high-school student,0,3,0,0,0,0,0,0,0,0,0,0,0,3
gets,idol; idiot,1,2,0,0,0,0,0,0,0,0,0,0,0,3
helfer,helper,3,0,0,0,0,0,0,0,0,0,0,0,0,3
intrigant,plotter,0,3,0,0,0,0,0,0,0,0,0,0,0,3
kegner,opposite; in opposition,3,0,0,0,0,0,0,0,0,0,0,0,0,3
khay,the number 18,0,3,0,0,0,0,0,0,0,0,0,0,0,3
khemiker,chemist,3,0,0,0,0,0,0,0,0,0,0,0,0,3
komedyant,comedian; buffoon,1,2,0,0,0,0,0,0,0,0,0,0,0,3
konkurent,rival,1,2,0,0,0,0,0,0,0,0,0,0,0,3
lingvist,linguist,1,2,0,0,0,0,0,0,0,0,0,0,0,3
mayster,expert (female),3,0,0,0,0,0,0,0,0,0,0,0,0,3
mekler,broker,3,0,0,0,0,0,0,0,0,0,0,0,0,3
imigrant,,0,3,0,0,0,0,0,0,0,0,0,0,0,3
mundir,has diminutive,0,0,3,0,0,0,0,0,0,0,0,0,0,3
neger,Negro was polite,1,0,2,0,0,0,0,0,0,0,0,0,0,3
nemer,taker,3,0,0,0,0,0,0,0,0,0,0,0,0,3
or,light,0,0,0,0,0,0,0,0,0,3,0,0,0,3
pap,pulp; paste,0,3,0,0,0,0,0,0,0,0,0,0,0,3
partizan,partisan,0,3,0,0,0,0,0,0,0,0,0,0,0,3
pas,pass,0,1,2,0,0,0,0,0,0,0,0,0,0,3
pas,belt; track (electronics); measuring tape,0,1,2,0,0,0,0,0,0,0,0,0,0,3
patryot,patriotic,0,3,0,0,0,0,0,0,0,0,0,0,0,3
patsyent,patient,0,3,0,0,0,0,0,0,0,0,0,0,0,3
perl,diminutive with root per,2,0,0,0,0,0,0,1,0,0,0,0,0,3
plyush,adjectival form with -n,0,0,0,0,0,0,0,3,0,0,0,0,0,3
rand,edge,0,3,0,0,0,0,0,0,0,0,0,0,0,3
rob,raven (bird); wren (bird),3,0,0,0,0,0,0,0,0,0,0,0,0,3
rabiner,Rabbinic,2,0,1,0,0,0,0,0,0,0,0,0,0,3
rus,soot,0,3,0,0,0,0,0,0,0,0,0,0,0,3
shklaf,slave,3,0,0,0,0,0,0,0,0,0,0,0,0,3
shnayder,tailor (occupation),2,1,0,0,0,0,0,0,0,0,0,0,0,3
shtifer,joking; bratty,1,2,0,0,0,0,0,0,0,0,0,0,0,3
shver,father-in-law of bride right after engagement; of groom after marriage,3,0,0,0,0,0,0,0,0,0,0,0,0,3
soldat,soldier,0,3,0,0,0,0,0,0,0,0,0,0,0,3
tur,tour; circuit; trip,3,0,0,0,0,0,0,0,0,0,0,0,0,3
vaks,adjectival form with -n,0,0,0,0,0,0,0,3,0,0,0,0,0,3
velsh,catfish,0,0,0,0,0,0,0,3,0,0,0,0,0,3
ben,favorite son,3,0,0,0,0,0,0,0,0,0,0,0,0,3
ben,has diminutive,3,0,0,0,0,0,0,0,0,0,0,0,0,3
oyfzeer,supervisor,3,0,0,0,0,0,0,0,0,0,0,0,0,3
zitser,sitter; buttocks,0,3,0,0,0,0,0,0,0,0,0,0,0,3
frantsoyz,Frenchman,2,1,0,0,0,0,0,0,0,0,0,0,0,3
frantsoyz,cockroach,2,1,0,0,0,0,0,0,0,0,0,0,0,3
tur,tour; circuit; trip,3,0,0,0,0,0,0,0,0,0,0,0,0,3
vaks,adjectival form with -n,0,0,0,0,0,0,0,3,0,0,0,0,0,3
velsh,catfish,0,0,0,0,0,0,0,3,0,0,0,0,0,3
ben,favorite son,3,0,0,0,0,0,0,0,0,0,0,0,0,3
ben,has diminutive,3,0,0,0,0,0,0,0,0,0,0,0,0,3
oyfzeer,supervisor,3,0,0,0,0,0,0,0,0,0,0,0,0,3
