word,meaning,in,ke,te,inte,nice,itse,ine,ene,cn,she,ixe,esis,ese,tshke,summ
foroysgeyer,predecessor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nokhgeyer,follower,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gimnast,gymnast,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
mitglid,member,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gram,rhymer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heker,butcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bukhhalter,"accountant, bookkeeper",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hebreist,Hebraist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tsuherer,attentive listener,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hertsog,duke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
higer,local person,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
hultay,merrymaker; scoundrel; libertine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
instruktor,instructor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
intelektual,intellectual,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
invalid,invalid (person),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ish,man,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kantor,cantor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
rosh,community leader,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
shprakhkener,linguist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
klarnetist,clarinet player,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
klezmer,musician,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
kolonist,colonist,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
komisar,precinct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
konduktor,conductor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
kosmetiker,beautician,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kretshmer,tavern keeper,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
krikher,crawler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
kund,customer doubtful admissibility,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oyslender,foreigner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
liverant,contractor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
magnat,magnate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
meyor,mayor (American),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
emigrant,emigration,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
milyarder,billionaire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nar,foolish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
observator,observer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ofitsir,officer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
orator,speaker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pastekh,shepherd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
patsher,slapper,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
mansparshoyn,male human,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
pilot,pilot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
praktikant,intern (student),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
premyer,prime minister,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
prister,pagan priest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
produtsirer,producer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
radikal,radical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
farrat,plural in -s,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
reder,speaker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
referent,lecturer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rosh,head; chief berosh(Ч‘ЧЁЧђЦёЧ©) adverb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
rov,the Rabbi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
rebe,adjectival form with -sh,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
sanitar,cleaning person,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
shoykhet,ritual slaughterer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tsushnayder,cutter (occupation),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shnorer,beggar; mooch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shpyon,espionage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
shpringer,jumper; knight (chess piece),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
bashrayber,"depicter, writer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shtekher,hole puncher,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tsushteler,provider,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shvindler,"swinder, cheat",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bar,expert; authority,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
styuard,steward,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
tayvl,devil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
tekhniker,technician,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
teoretiker,theoretician,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
teritoryalist,territorialist (Jews should have their own Yiddish-speaking country],0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
toter,Tatar; quack doctor; fortune teller,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
fartreter,representative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tunker,diver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vad,council,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
varfer,pitcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vesher,washer (person),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
virtuoz,virtuoz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mitvoyner,roommate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
forzetser,person who continues (with fun),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shtubzitser,stay-at-home source: Bashevis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zukher,seeker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hitler,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
shvimer,swimmer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bocher,bachelor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
horepashnik,worker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
nikhpenik,epileptic person,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
arab,arab,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
polyak,non-Jewish Pole,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
katolik,Catholic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
kozak,cavalryman,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
litvak,Jewish Lithuanian,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
bolshevik,Bolshevist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
